date,team_a,team_b,team_a_elo,team_b_elo,team_a_ranking,team_a_rating,team_a_goals_per_game,team_a_avg_possession,team_a_pass_accuracy,team_a_shots_per_game,team_a_tackles_per_game,team_a_dribble_per_game,team_a_coach_ranking,team_b_ranking,team_b_rating,team_b_goals_per_game,team_b_avg_possession,team_b_pass_accuracy,team_b_shots_per_game,team_b_tackles_per_game,team_b_dribble_per_game,team_b_coach_ranking,team_home,results,total match goals
13/5/2018,everton,west_ham_united,1708,1661,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,128,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,0,2,
13/5/2018,leicester_city,tottenham_hotspur,1698,1910,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,162,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,19,0,2,
13/5/2018,stoke_city,swansea_city,1617,1627,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,304,207,6.59,0.7,46,78.2,8.9,16.1,8.4,207,0,1,
13/5/2018,manchester_city,southampton,1971,1654,12,7.15,2.8,66.4,89,17.5,14.8,13.2,12,197,6.67,1,51,77.5,11.8,17.3,10,197,0,1,
13/5/2018,chelsea,newcastle_united,1856,1649,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,31,211,6.72,1,43.8,72.3,11.9,16.9,8,211,0,2,
13/5/2018,watford,manchester_united,1626,1881,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,235,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,13,0,2,
13/5/2018,brighton,liverpool,1634,1922,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,218,9,6.99,2.2,58,83.8,16.8,16.8,11.6,9,0,2,
13/5/2018,arsenal,huddersfield_town,1817,1568,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,255,6.61,0.7,46.4,74,9.5,19.6,7.3,255,0,1,
13/5/2018,west_bromwich_albion,crystal_palace,1627,1684,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,323,185,6.84,1.2,46.9,75.4,12.5,18,12.7,185,0,2,
13/5/2018,afc_bournemouth,burnley,1661,1698,203,6.65,1.2,48.5,77,12.2,13.4,9,203,157,6.78,0.9,45.1,70.5,9.9,14,5.7,157,0,1,
10/5/2018,manchester_united,west_ham_united,1886,1657,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,0,0,
09/05/2018,newcastle_united,tottenham_hotspur,1650,1908,211,6.72,1,43.8,72.3,11.9,16.9,8,168,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,0,2,
09/05/2018,brighton,manchester_city,1636,1969,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,0,2,
09/05/2018,arsenal,leicester_city,1831,1684,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,19,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,0,2,
09/05/2018,huddersfield,chelsea,1560,1864,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,0,0,
08/05/2018,southampton,swansea_city,1645,1637,197,6.67,1,51,77.5,11.8,17.3,10,239,207,6.59,0.7,46,78.2,8.9,16.1,8.4,300,0,1,
06/05/2018,huddersfield,manchester_city,1552,1978,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,0,0,
06/05/2018,burnley,arsenal,1707,1822,157,6.78,0.9,45.1,70.5,9.9,14,5.7,121,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,19,0,2,
06/05/2018,liverpool,chelsea,1930,1855,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,0,2,
05/05/2018,swansea_city,afc_bournemouth,1643,1655,207,6.59,0.7,46,78.2,8.9,16.1,8.4,300,203,6.65,1.2,48.5,77,12.2,13.4,9,154,0,2,
05/05/2018,west_ham_united,leicester_city,1641,1699,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,0,1,
05/05/2018,southampton,everton,1641,1712,197,6.67,1,51,77.5,11.8,17.3,10,239,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,0,0,
05/05/2018,tottenham_hotspur,west_bromwich_albion,1922,1613,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,0,2,
05/05/2018,newcastle_united,watford,1658,1619,211,6.72,1,43.8,72.3,11.9,16.9,8,168,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,0,2,
05/05/2018,cystal_palace,stoke_city,1675,1626,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,304,6.7,0.9,43.7,71.5,10.1,17.9,8.9,599,0,1,
11/8/2017,leicester_city,arsenal,1714,1845,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,0,2,
12/8/2017,liverpool,watford,1835,1601,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,0,0,
12/8/2017,bournemouth,west_bromwich_albion,1651,1642,203,6.65,1.2,48.5,77,12.2,13.4,9,154,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,0,2,
12/8/2017,swansea,southampton,1647,1689,207,6.59,0.7,46,78.2,8.9,16.4,8.4,300,197,6.67,1,51,77.5,11.8,17.3,10,239,0,0,
12/8/2017,burnley,chelsea,1626,1907,157,6.78,0.9,45.1,70.5,9.9,14,5.7,121,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,0,1,
12/8/2017,huddersfield,crystal_palace,1471,1640,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,0,1,
12/8/2017,stoke,everton,1660,1749,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,599,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,0,2,
12/8/2017,manchester_city,brighton,1864,1581,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,0,1,
13/8/2017,tottenham,newcastle_united,1885,1621,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,211,6.72,1,43.8,72.3,11.9,16.9,8,168,0,1,
13/8/2017,west_ham,manchester_united,1670,1855,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,0,2,
19/8/2017,manchester_united,swansea,1864,1654,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,207,6.59,0.7,46,78.2,8.9,16.4,8.4,300,0,1,
19/8/2017,brighton,leicester,1580,1715,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,0,2,
19/8/2017,crystal_palace,liverpool,1620,1842,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,0,2,
19/8/2017,watford,bournemouth,1609,1649,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,203,6.65,1.2,48.5,77,12.2,13.4,9,154,0,1,
